California Counties,Births in 2015
Alameda County,19835
Alpine County,4
Amador County,304
Butte County,2496
Calaveras County,351
Colusa County,285
Contra Costa County,12755
Del Norte County,294
El Dorado County,1592
Fresno County,15773
Glenn County,400
Humboldt County,1486
Imperial County,3290
Inyo County,212
Kern County,14257
Kings County,2350
Lake County,731
Lassen County,298
Los Angeles County,128650
Madera County,2309
Marin County,2300
Mariposa County,142
Mendocino County,1031
Merced County,4149
Modoc County,53
Mono County,138
Monterey County,6512
Napa County,1484
Nevada County,827
Orange County,38707
Placer County,3676
Plumas County,139
Riverside County,30742
Sacramento County,19981
San Benito County,719
San Bernardino County,31306
San Diego County,44755
San Francisco County,9080
San Joaquin County,10148
San Luis Obispo County,2649
San Mateo County,9165
Santa Barbara County,5857
Santa Clara County,23853
Santa Cruz County,3004
Shasta County,2083
Sierra County,18
Siskiyou County,411
Solano County,5275
Sonoma County,5162
Stanislaus County,7789
Sutter County,1348
Tehama County,822
Trinity County,102
Tulare County,7634
Tuolumne County,473
Ventura County,10501
Yolo County,2413
Yuba County,1183
